header,title,titleUrl,description,time,products,details,activityControls,subtitles
YouTube,Watched MediCare Select: A Health Plan for Every Generation - Telugu,https://www.youtube.com/watch?v=8PkZkGA4oLI,Watched at 11:21 PM,2026-01-04T17:51:23.891Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Watched Mana ShankaraVaraPrasad Garu Official Trailer | Chiranjeevi | Venkatesh | Nayanthara | Anil Ravipudi,https://www.youtube.com/watch?v=UtVijamJJcg,,2026-01-04T17:42:34.491Z,['YouTube'],,['YouTube watch history'],"[{'name': 'SHINE screens', 'url': 'https://www.youtube.com/channel/UCTvj3-woimxixynrEzG1kUA'}]"
YouTube,Watched Biggest Festival of Diamonds | Flat 20% Off | Starts 8th Jan 2026 ✨,https://www.youtube.com/watch?v=Gxe_5GGLLVM,Watched at 11:12 PM,2026-01-04T17:42:21.045Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history', 'YouTube search history']",
YouTube,Watched #ChangeIsInTheAir - The All-New Air India Business Class Experience,https://www.youtube.com/watch?v=1yXfygineq8,,2026-01-04T17:42:06.638Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",
YouTube,"Watched Gehra Hua | Dhurandhar | Ranveer Singh, Sara Arjun, Shashwat Sachdev, Arijit Singh, Irshad Kamil",https://www.youtube.com/watch?v=GX9x62kFsVU,,2026-01-04T14:35:25.718Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Saregama Music', 'url': 'https://www.youtube.com/channel/UC_A7K2dXFsTMAciGmnNxy-Q'}]"
YouTube,Viewed Ads On YouTube Homepage,,,2026-01-04T14:34:33.968Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",
YouTube,Watched Project 1: End To End Python ML Project (Complete)| Machine Learning Tutorials Using Python In Hindi,https://www.youtube.com/watch?v=iIkJrwVUl1c,,2026-01-04T14:33:02.576Z,['YouTube'],,['YouTube watch history'],"[{'name': 'CodeWithHarry', 'url': 'https://www.youtube.com/channel/UCeVMnSShP_Iviwkknt83cww'}]"
YouTube,Watched Get slice savings account in 3 mins,https://www.youtube.com/watch?v=qaqQEzQDY0E,,2026-01-03T08:04:24.440Z,['YouTube'],[{'name': 'From Google Ads'}],"['Web & App Activity', 'YouTube watch history']",
YouTube,Watched 🚨Hi ANVESH,https://www.youtube.com/watch?v=zhvyQrW9Ygc,,2026-01-03T08:04:23.665Z,['YouTube'],,['YouTube watch history'],"[{'name': 'Aye Jude', 'url': 'https://www.youtube.com/channel/UCq9kaXFyF2b6oXQ5veWdvog'}]"
YouTube,Watched Lamp Control using Hand Gestures | Computer Vision with Arduino | CVZone,https://www.youtube.com/watch?v=3oI8VdhDk9I,,2026-01-03T08:04:15.750Z,['YouTube'],,['YouTube watch history'],"[{'name': ""Murtaza's Workshop - Robotics and AI"", 'url': 'https://www.youtube.com/channel/UCYUjYU5FveRAscQ8V21w81A'}]"
